CountyCode,CountyName,ElectionName,PrecinctID,RegisteredTotal,RegisteredRepublican,RegisteredDemocrat,ContestName,District,YesVotes,NoVotes,key
BRE,Brevard,2024 General Election,309,11713,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,5292,4139,BRE309
BRE,Brevard,2024 General Election,310,2423,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1166,817,BRE310
BRE,Brevard,2024 General Election,311,2718,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1292,977,BRE311
BRE,Brevard,2024 General Election,312,2650,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1249,898,BRE312
BRE,Brevard,2024 General Election,313,9826,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,4397,3287,BRE313
BRE,Brevard,2024 General Election,314,9079,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,4137,2629,BRE314
BRE,Brevard,2024 General Election,316,4583,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2089,1411,BRE316
BRE,Brevard,2024 General Election,317,6578,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2877,2086,BRE317
BRE,Brevard,2024 General Election,318,3330,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1560,1285,BRE318
BRE,Brevard,2024 General Election,320,651,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,265,246,BRE320
BRE,Brevard,2024 General Election,322,5967,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2730,1761,BRE322
BRE,Brevard,2024 General Election,323,903,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,431,281,BRE323
BRE,Brevard,2024 General Election,324,795,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,369,308,BRE324
BRE,Brevard,2024 General Election,325,436,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,160,183,BRE325
BRE,Brevard,2024 General Election,326,497,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,189,240,BRE326
BRE,Brevard,2024 General Election,327,555,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,206,258,BRE327
BRE,Brevard,2024 General Election,328,434,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,179,203,BRE328
BRE,Brevard,2024 General Election,329,276,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,115,114,BRE329
BRE,Brevard,2024 General Election,400,4372,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2019,1246,BRE400
BRE,Brevard,2024 General Election,402,3871,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1774,1241,BRE402
BRE,Brevard,2024 General Election,403,1290,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,668,330,BRE403
BRE,Brevard,2024 General Election,404,5129,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2460,1891,BRE404
BRE,Brevard,2024 General Election,405,4875,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2343,1870,BRE405
BRE,Brevard,2024 General Election,406,6062,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2673,2489,BRE406
BRE,Brevard,2024 General Election,407,436,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,188,132,BRE407
BRE,Brevard,2024 General Election,408,1563,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,775,425,BRE408
BRE,Brevard,2024 General Election,409,5713,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2765,2103,BRE409
BRE,Brevard,2024 General Election,410,934,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,443,333,BRE410
BRE,Brevard,2024 General Election,411,994,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,503,311,BRE411
BRE,Brevard,2024 General Election,412,284,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,128,109,BRE412
BRE,Brevard,2024 General Election,414,4394,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2052,1406,BRE414
BRE,Brevard,2024 General Election,415,3257,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1516,1266,BRE415
