Geography,Geographic Area Name,median_household_income
1400000US12009071351,Census Tract 713.51; Brevard County; Florida,60014
1400000US12009071352,Census Tract 713.52; Brevard County; Florida,70199
1400000US12009071353,Census Tract 713.53; Brevard County; Florida,135396
1400000US12009071354,Census Tract 713.54; Brevard County; Florida,131285
1400000US12009071401,Census Tract 714.01; Brevard County; Florida,60147
1400000US12009071402,Census Tract 714.02; Brevard County; Florida,42263
1400000US12009071500,Census Tract 715; Brevard County; Florida,72984
1400000US12009071601,Census Tract 716.01; Brevard County; Florida,64279
1400000US12009071602,Census Tract 716.02; Brevard County; Florida,68563
1400000US12009071700,Census Tract 717; Brevard County; Florida,67163
1400000US12009980000,Census Tract 9800; Brevard County; Florida,-
1400000US12009980100,Census Tract 9801; Brevard County; Florida,-
1400000US12009990000,Census Tract 9900; Brevard County; Florida,-
1400000US12011010102,Census Tract 101.02; Broward County; Florida,95565
1400000US12011010103,Census Tract 101.03; Broward County; Florida,73281
1400000US12011010104,Census Tract 101.04; Broward County; Florida,61392
1400000US12011010201,Census Tract 102.01; Broward County; Florida,75060
1400000US12011010202,Census Tract 102.02; Broward County; Florida,52200
1400000US12011010304,Census Tract 103.04; Broward County; Florida,47564
1400000US12011010305,Census Tract 103.05; Broward County; Florida,40508
1400000US12011010306,Census Tract 103.06; Broward County; Florida,65306
1400000US12011010307,Census Tract 103.07; Broward County; Florida,37813
1400000US12011010308,Census Tract 103.08; Broward County; Florida,76297
1400000US12011010401,Census Tract 104.01; Broward County; Florida,104926
1400000US12011010402,Census Tract 104.02; Broward County; Florida,48995
1400000US12011010403,Census Tract 104.03; Broward County; Florida,28340
1400000US12011010405,Census Tract 104.05; Broward County; Florida,72724
1400000US12011010406,Census Tract 104.06; Broward County; Florida,85625
1400000US12011010407,Census Tract 104.07; Broward County; Florida,51458
1400000US12011010502,Census Tract 105.02; Broward County; Florida,102566
1400000US12011010503,Census Tract 105.03; Broward County; Florida,234366
1400000US12011010504,Census Tract 105.04; Broward County; Florida,130456
1400000US12011010601,Census Tract 106.01; Broward County; Florida,164573
1400000US12011010603,Census Tract 106.03; Broward County; Florida,137216
1400000US12011010604,Census Tract 106.04; Broward County; Florida,99653
1400000US12011010605,Census Tract 106.05; Broward County; Florida,167439
1400000US12011010606,Census Tract 106.06; Broward County; Florida,99107
1400000US12011010609,Census Tract 106.09; Broward County; Florida,100989
1400000US12011010610,Census Tract 106.10; Broward County; Florida,78438
1400000US12011010611,Census Tract 106.11; Broward County; Florida,148556
1400000US12011010612,Census Tract 106.12; Broward County; Florida,122713
1400000US12011010613,Census Tract 106.13; Broward County; Florida,84542
1400000US12011010614,Census Tract 106.14; Broward County; Florida,101250
1400000US12011010615,Census Tract 106.15; Broward County; Florida,135394
1400000US12011010701,Census Tract 107.01; Broward County; Florida,58030
1400000US12011010702,Census Tract 107.02; Broward County; Florida,48711
1400000US12011010800,Census Tract 108; Broward County; Florida,69018
1400000US12011010901,Census Tract 109.01; Broward County; Florida,99960
1400000US12011010902,Census Tract 109.02; Broward County; Florida,80000
1400000US12011011000,Census Tract 110; Broward County; Florida,96176
1400000US12011020101,Census Tract 201.01; Broward County; Florida,66014
1400000US12011020103,Census Tract 201.03; Broward County; Florida,61031
1400000US12011020104,Census Tract 201.04; Broward County; Florida,60153
1400000US12011020204,Census Tract 202.04; Broward County; Florida,77210
1400000US12011020205,Census Tract 202.05; Broward County; Florida,70556
1400000US12011020206,Census Tract 202.06; Broward County; Florida,65670
1400000US12011020209,Census Tract 202.09; Broward County; Florida,60368
1400000US12011020210,Census Tract 202.10; Broward County; Florida,74750
1400000US12011020211,Census Tract 202.11; Broward County; Florida,43697
1400000US12011020212,Census Tract 202.12; Broward County; Florida,50392
1400000US12011020213,Census Tract 202.13; Broward County; Florida,51566
1400000US12011020214,Census Tract 202.14; Broward County; Florida,67361
1400000US12011020302,Census Tract 203.02; Broward County; Florida,60385
1400000US12011020308,Census Tract 203.08; Broward County; Florida,57784
1400000US12011020309,Census Tract 203.09; Broward County; Florida,111458
1400000US12011020311,Census Tract 203.11; Broward County; Florida,62955
1400000US12011020312,Census Tract 203.12; Broward County; Florida,82957
1400000US12011020313,Census Tract 203.13; Broward County; Florida,61882
1400000US12011020314,Census Tract 203.14; Broward County; Florida,65441
1400000US12011020315,Census Tract 203.15; Broward County; Florida,101304
1400000US12011020316,Census Tract 203.16; Broward County; Florida,75436
1400000US12011020317,Census Tract 203.17; Broward County; Florida,96917
1400000US12011020318,Census Tract 203.18; Broward County; Florida,146069
1400000US12011020319,Census Tract 203.19; Broward County; Florida,94014
1400000US12011020320,Census Tract 203.20; Broward County; Florida,76650
1400000US12011020321,Census Tract 203.21; Broward County; Florida,111250
1400000US12011020322,Census Tract 203.22; Broward County; Florida,108807
1400000US12011020323,Census Tract 203.23; Broward County; Florida,57917
1400000US12011020324,Census Tract 203.24; Broward County; Florida,61161
1400000US12011020325,Census Tract 203.25; Broward County; Florida,83086
1400000US12011020326,Census Tract 203.26; Broward County; Florida,84199
1400000US12011020404,Census Tract 204.04; Broward County; Florida,80879
1400000US12011020405,Census Tract 204.05; Broward County; Florida,58542
1400000US12011020406,Census Tract 204.06; Broward County; Florida,73406
1400000US12011020407,Census Tract 204.07; Broward County; Florida,64426
1400000US12011020412,Census Tract 204.12; Broward County; Florida,41825
1400000US12011020414,Census Tract 204.14; Broward County; Florida,59674
1400000US12011020415,Census Tract 204.15; Broward County; Florida,75161
1400000US12011020416,Census Tract 204.16; Broward County; Florida,80347
